Warning,Part,IBIS File,IBIS Component,Timing File,Timing Model,Pin Number,Pin Name,Model Name,Model Type,Additional Data
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,N13, SR_LDO17,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,N14, DAI_P14,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,N2, SR_LDO1,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,N3, SR_LDO4,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,N4, SR_LDO8,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,N5, SR_LDO10,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,N6, DAI_P01,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,N7, SR_LDO9,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,N8, DAI_P02,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,N9, SR_LDO13,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,P10, SR_CLR_B,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,P11, SR_LAT,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,P12, SR_LDO14,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,P13, SR_LDO12,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,P2, SR_LDO3,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,P3, SR_LDO2,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,P4, SR_LDO6,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,P5, WDTRSTO_B,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,P6, DAI_P19,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,P7, DAI_P13,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,P8, SR_LDO11,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,P9, SR_LDO15,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,B2, CLK_CFG1,PDISDGZ,Input,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,B3, BOOT_CFG0,PDISDGZ,Input,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,B5, RESET_B,PDISDGZ,Input,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,C7, TCK,PDISDGZ,Input,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,D4, CLK_CFG0,PDISDGZ,Input,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,F3, BOOT_CFG1,PDISDGZ,Input,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,H12, BOOT_CFG2,PDISDGZ,Input,
