Setup Margin (ns),Hold Margin (ns),Data R/F,Transfer Net,Driver,Receiver,UI (ns),Min Data Etch Delay (ns),Max Data Etch Delay (ns),Min Tco (ns),Max Tco (ns),Setup (ns),Hold (ns),Setup Skew (ns),Hold Skew (ns),Source Clock Net,Target Clock Net,Simulation,Corner
7.433,4.271,R,sheet1,Controller,IO1,15.000,1.471,1.567,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_5_0o75_1o5\controller_ssse_5_0o75_1o5.csd,SSSE
7.373,4.353,F,sheet1,Controller,IO1,15.000,1.553,1.627,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_5_0o75_1o5\controller_ssse_5_0o75_1o5.csd,SSSE
7.771,3.928,R,sheet1,IO0,Controller,15.000,1.128,1.229,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_5_0o75_1o5\io0_ssse_5_0o75_1o5.csd,SSSE
7.737,3.989,F,sheet1,IO0,Controller,15.000,1.189,1.263,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_5_0o75_1o5\io0_ssse_5_0o75_1o5.csd,SSSE
7.406,4.280,R,sheet1,IO1,Controller,15.000,1.480,1.594,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_5_0o75_1o5\io1_ssse_5_0o75_1o5.csd,SSSE
7.373,4.353,F,sheet1,IO1,Controller,15.000,1.553,1.627,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_5_0o75_1o5\io1_ssse_5_0o75_1o5.csd,SSSE
7.630,4.075,R,sheet1,Controller,IO0,15.000,1.275,1.370,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_5_1o5_0o75\controller_ssse_5_1o5_0o75.csd,SSSE
7.574,4.154,F,sheet1,Controller,IO0,15.000,1.354,1.426,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_5_1o5_0o75\controller_ssse_5_1o5_0o75.csd,SSSE
7.563,4.143,R,sheet1,Controller,IO1,15.000,1.343,1.437,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_5_1o5_0o75\controller_ssse_5_1o5_0o75.csd,SSSE
7.522,4.199,F,sheet1,Controller,IO1,15.000,1.399,1.478,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_5_1o5_0o75\controller_ssse_5_1o5_0o75.csd,SSSE
7.611,4.100,R,sheet1,IO0,Controller,15.000,1.300,1.389,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_5_1o5_0o75\io0_ssse_5_1o5_0o75.csd,SSSE
7.565,4.162,F,sheet1,IO0,Controller,15.000,1.362,1.435,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_5_1o5_0o75\io0_ssse_5_1o5_0o75.csd,SSSE
7.587,4.122,R,sheet1,IO1,Controller,15.000,1.322,1.413,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_5_1o5_0o75\io1_ssse_5_1o5_0o75.csd,SSSE
7.527,4.202,F,sheet1,IO1,Controller,15.000,1.402,1.473,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_5_1o5_0o75\io1_ssse_5_1o5_0o75.csd,SSSE
7.634,4.077,R,sheet1,Controller,IO0,15.000,1.277,1.366,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_5_1o5_1o5\controller_ssse_5_1o5_1o5.csd,SSSE
7.588,4.139,F,sheet1,Controller,IO0,15.000,1.339,1.412,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_5_1o5_1o5\controller_ssse_5_1o5_1o5.csd,SSSE
7.430,4.275,R,sheet1,Controller,IO1,15.000,1.475,1.570,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_5_1o5_1o5\controller_ssse_5_1o5_1o5.csd,SSSE
7.369,4.357,F,sheet1,Controller,IO1,15.000,1.557,1.631,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_5_1o5_1o5\controller_ssse_5_1o5_1o5.csd,SSSE
7.632,4.079,R,sheet1,IO0,Controller,15.000,1.279,1.368,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_5_1o5_1o5\io0_ssse_5_1o5_1o5.csd,SSSE
7.612,4.115,F,sheet1,IO0,Controller,15.000,1.315,1.388,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_5_1o5_1o5\io0_ssse_5_1o5_1o5.csd,SSSE
7.425,4.281,R,sheet1,IO1,Controller,15.000,1.481,1.575,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_5_1o5_1o5\io1_ssse_5_1o5_1o5.csd,SSSE
7.370,4.358,F,sheet1,IO1,Controller,15.000,1.558,1.630,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_5_1o5_1o5\io1_ssse_5_1o5_1o5.csd,SSSE
7.570,4.139,R,sheet1,Controller,IO0,15.000,1.339,1.430,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_6_0o75_0o75\controller_ssse_6_0o75_0o75.csd,SSSE
7.525,4.204,F,sheet1,Controller,IO0,15.000,1.404,1.475,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_6_0o75_0o75\controller_ssse_6_0o75_0o75.csd,SSSE
7.383,4.318,R,sheet1,Controller,IO1,15.000,1.518,1.617,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_6_0o75_0o75\controller_ssse_6_0o75_0o75.csd,SSSE
7.321,4.402,F,sheet1,Controller,IO1,15.000,1.602,1.679,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_6_0o75_0o75\controller_ssse_6_0o75_0o75.csd,SSSE
7.582,4.129,R,sheet1,IO0,Controller,15.000,1.329,1.418,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_6_0o75_0o75\io0_ssse_6_0o75_0o75.csd,SSSE
7.534,4.195,F,sheet1,IO0,Controller,15.000,1.395,1.466,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_6_0o75_0o75\io0_ssse_6_0o75_0o75.csd,SSSE
7.369,4.331,R,sheet1,IO1,Controller,15.000,1.531,1.631,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_6_0o75_0o75\io1_ssse_6_0o75_0o75.csd,SSSE
7.320,4.399,F,sheet1,IO1,Controller,15.000,1.599,1.680,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_6_0o75_0o75\io1_ssse_6_0o75_0o75.csd,SSSE
7.596,4.115,R,sheet1,Controller,IO0,15.000,1.315,1.404,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_6_0o75_1o5\controller_ssse_6_0o75_1o5.csd,SSSE
6.459,4.199,F,sheet1,Controller,IO0,15.000,1.399,2.541,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_6_0o75_1o5\controller_ssse_6_0o75_1o5.csd,SSSE
7.208,4.480,R,sheet1,Controller,IO1,15.000,1.680,1.792,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_6_0o75_1o5\controller_ssse_6_0o75_1o5.csd,SSSE
7.173,4.547,F,sheet1,Controller,IO1,15.000,1.747,1.827,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_6_0o75_1o5\controller_ssse_6_0o75_1o5.csd,SSSE
7.580,4.126,R,sheet1,IO0,Controller,15.000,1.326,1.420,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_6_0o75_1o5\io0_ssse_6_0o75_1o5.csd,SSSE
7.529,4.201,F,sheet1,IO0,Controller,15.000,1.401,1.471,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_6_0o75_1o5\io0_ssse_6_0o75_1o5.csd,SSSE
7.200,4.488,R,sheet1,IO1,Controller,15.000,1.688,1.800,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_6_0o75_1o5\io1_ssse_6_0o75_1o5.csd,SSSE
7.169,4.553,F,sheet1,IO1,Controller,15.000,1.753,1.831,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_6_0o75_1o5\io1_ssse_6_0o75_1o5.csd,SSSE
7.435,4.276,R,sheet1,Controller,IO0,15.000,1.476,1.565,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_6_1o5_0o75\controller_ssse_6_1o5_0o75.csd,SSSE
7.373,4.350,F,sheet1,Controller,IO0,15.000,1.550,1.627,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_6_1o5_0o75\controller_ssse_6_1o5_0o75.csd,SSSE
7.376,4.321,R,sheet1,Controller,IO1,15.000,1.521,1.624,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_6_1o5_0o75\controller_ssse_6_1o5_0o75.csd,SSSE
7.322,4.401,F,sheet1,Controller,IO1,15.000,1.601,1.678,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_6_1o5_0o75\controller_ssse_6_1o5_0o75.csd,SSSE
