Warning,Part,IBIS File,IBIS Component,Timing File,Timing Model,Pin Number,Pin Name,Model Name,Model Type,Additional Data
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,79, 2s_sstl18c1_rrio_d4,2s_sstl18c1_rrio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,80, 2s_sstl18c1_rrio_d6,2s_sstl18c1_rrio_d6,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,81, 2s_sstl18c1_rrio_d8,2s_sstl18c1_rrio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,82, 2s_sstl18c1_rrio_d10,2s_sstl18c1_rrio_d10,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,83, 2s_sstl18c1_rtio_d4,2s_sstl18c1_rtio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,84, 2s_sstl18c1_rtio_d6,2s_sstl18c1_rtio_d6,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,85, 2s_sstl18c1_rtio_d8,2s_sstl18c1_rtio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,86, 2s_sstl18c1_rtio_d10,2s_sstl18c1_rtio_d10,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,87, 2s_sstl18c2_cio_d8,2s_sstl18c2_cio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,88, 2s_sstl18c2_cio_d16,2s_sstl18c2_cio_d16,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,89, 2s_sstl18c2_cio_d18,2s_sstl18c2_cio_d18,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,90, 2s_sstl18c2_cio_d20,2s_sstl18c2_cio_d20,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,91, 2s_sstl18_cin,2s_sstl18_cin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,92, 2s_sstl18_rrin,2s_sstl18_rrin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,93, 2s_sstl18_rtin,2s_sstl18_rtin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,94, 2s_sstl25c1_cio_d8,2s_sstl25c1_cio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,95, 2s_sstl25c1_cio_d12,2s_sstl25c1_cio_d12,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,96, 2s_sstl25c1_rrio_d8,2s_sstl25c1_rrio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,97, 2s_sstl25c1_rrio_d12,2s_sstl25c1_rrio_d12,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,98, 2s_sstl25c1_rtio_d8,2s_sstl25c1_rtio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,99, 2s_sstl25c1_rtio_d12,2s_sstl25c1_rtio_d12,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,100, 2s_sstl25c2_cio_d16,2s_sstl25c2_cio_d16,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,101, 2s_sstl25c2_cio_d20,2s_sstl25c2_cio_d20,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,102, 2s_sstl25c2_cio_d24,2s_sstl25c2_cio_d24,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,103, 2s_sstl25c2_rrio_d16,2s_sstl25c2_rrio_d16,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,104, 2s_sstl25c2_rtio_d16,2s_sstl25c2_rtio_d16,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,105, 2s_sstl25_cin,2s_sstl25_cin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,106, 2s_sstl25_rrin,2s_sstl25_rrin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,107, 2s_sstl25_rtin,2s_sstl25_rtin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,108, 2s_ttl18_cio_d2,2s_ttl18_cio_d2,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,109, 2s_ttl18_cio_d4,2s_ttl18_cio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,110, 2s_ttl18_cio_d6,2s_ttl18_cio_d6,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,111, 2s_ttl18_cio_d8,2s_ttl18_cio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,112, 2s_ttl18_cio_d10,2s_ttl18_cio_d10,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,113, 2s_ttl18_cio_d12,2s_ttl18_cio_d12,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,114, 2s_ttl18_rrio_d2,2s_ttl18_rrio_d2,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,115, 2s_ttl18_rrio_d4,2s_ttl18_rrio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,116, 2s_ttl18_rrio_d6,2s_ttl18_rrio_d6,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,117, 2s_ttl18_rrio_d8,2s_ttl18_rrio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,118, 2s_ttl18_rtio_d2,2s_ttl18_rtio_d2,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,119, 2s_ttl18_rtio_d4,2s_ttl18_rtio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,120, 2s_ttl18_rtio_d6,2s_ttl18_rtio_d6,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,121, 2s_ttl18_rtio_d8,2s_ttl18_rtio_d8,I/O,
